scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Pterocarpus santalinoides,L'Hér. ex DC.,5349244,1366701,null,LC,
Ptychopetalum olacoides,Benth.,3685538,1402613,null,LC,
Ptychopetalum uncinatum,Anselmino,3685517,1608960,null,LC,
Qualea acuminata,Spruce ex Warm.,4030812,1698317,null,LC,
Qualea amoena,Ducke,4030749,1698320,null,,
Qualea brevipedicellata,Stafleu,4030667,1698322,null,NT,
Qualea clavata,Stafleu,4030571,1698325,null,,
Qualea gracilior,Pilg.,4030662,1698338,null,,
Qualea homosepala,Ducke,4030603,1698341,null,LC,
Qualea labouriauana,Paula,4030499,1698344,null,VU,
Qualea paraensis,Ducke,4030655,1698354,null,LC,
Qualea parviflora,Mart.,7288348,1698355,null,,
Quassia amara,L.,3190647,1373346,null,LC,Quassia; Quassia-wood; Surinam quassia; Bitterwood; Bitter Bush; Bitter ash
Quiina amazonica,A.C.Sm.,3986470,1405581,null,LC,
Quiina berryi,J.V.Schneid. & Zizka,3986448,1733111,null,LC,
Quiina florida,Tul.,3986487,1608801,null,LC,
Quiina negrensis,A.C.Sm.,3986485,1608815,null,LC,
Quiina obovata,Tul.,3986449,1403225,null,LC,
Quiina paraensis,Pires & Fróes,3986497,1608817,null,LC,
Quiina piresii,J.V.Schneid. & Zizka,3986453,1733109,null,DD,
Quiina pteridophylla,(Radlk.) Pires,3986527,1403227,null,LC,
Quiina rhytidopus,Tul.,3986504,1608822,null,,
Raputia ulei,(K.Krause) Kallunki,3834088,1725545,null,LC,
Rauvolfia pentaphylla,Ducke,3616994,1462695,null,LC,
Rauvolfia polyphylla,Benth.,7316823,1462696,null,LC,
Rauvolfia sprucei,Müll.Arg.,3616446,1462709,null,LC,
Ravenia biramosa,Ducke,7269136,1683070,null,LC,
Recordoxylon speciosum,(Benoist) Gazel ex Barneby,3931407,1406336,null,LC,
Recordoxylon stenopetalum,Ducke,2947776,1585675,null,DD,
Remijia amazonica,K.Schum.,2909656,1679659,null,LC,
Remijia asperula,Standl.,2909628,1679663,null,VU,
Remijia glomerata,Huber,2909671,1679673,null,LC,
Remijia tenuiflora,Benth.,2909653,1679696,null,,
Remijia ulei,K.Krause,2909674,1679698,null,LC,
Retiniphyllum chloranthum,Ducke,2915320,1679713,null,LC,
Retiniphyllum concolor,(Spruce ex Benth.) Müll.Arg.,2915292,1679714,null,LC,
Retiniphyllum speciosum,(Spruce ex Benth.) Müll.Arg.,2915317,1679726,null,,
Rhabdodendron amazonicum,(Spruce ex Benth.) Huber,3880543,1403234,null,LC,
Rhabdodendron macrophyllum,(Spruce ex Benth.) Huber,3880536,1665434,null,,
Rhigospira quadrangularis,(Müll.Arg.) Miers,3615482,1462718,null,LC,
Rhodostemonodaphne crenaticupula,Madriñán,4179257,1567538,null,LC,
Rhodostemonodaphne grandis,(Mez) Rohwer,4179161,1404430,null,LC,
Rhodostemonodaphne juruensis,(A.C.Sm.) Chanderb.,4179152,1725193,null,LC,
Rhodostemonodaphne kunthiana,(Nees) Rohwer,4179128,1404431,null,LC,
Rhodostemonodaphne negrensis,Madriñán,4178929,1567550,null,NT,
Rhodostemonodaphne parvifolia,Madriñán,4178907,1567552,null,,
Rhodostemonodaphne peneia,Madriñán,4178892,1567553,null,LC,
Rhodostemonodaphne recurva,van der Werff,4178862,1567555,null,,
Rhodostemonodaphne scandens,Madriñán,4178790,1407117,null,LC,
Rhodostemonodaphne sordida,Madriñán,4178784,1567556,null,VU,
Rhodothyrsus macrophyllus,(Ducke) Esser,3055303,1547238,null,LC,
Richeria dressleri,G.L.Webster,3079140,1642845,null,LC,
