scientific_name,author,gbif_id,plantnet_id,iucn_category,common_names
Eucalyptus globulus,Labill.,3176787,1356282,LC,Tasmanian bluegum; Tasmamian Blue Gum; Eucalyptus; Blue gum; Victorian blue gum; Southern blue gum; <B>Bluegum Eucalyptus<; B>; Bluegum eucalyptus; Feberträd; Gum-topped Stringybark; Tasmanian blue gum; Blue-gum-tree; Southern-blue-gum; Tasmanian-blue-gum; Blue Gum-tree; Eucalypt; Eucalyptus Tree; Yukali; Mountain ash; اکالیپتوس نیلی; నీలగిరి చెట్టు; Victorian Bluegum
Eugenia agathopoda,Diels,5416400,1604235,LC,
Eugenia anastomosans,DC.,5417902,1402528,LC,
Eugenia biflora,(L.) DC.,5417812,1402529,LC,Blackrodwood
Eugenia brownsbergii,Amshoff,5416516,1404799,EN,
Eugenia cachoeirensis,O.Berg,5417726,1604334,LC,
Eugenia caducibracteata,Mazine,5556941,1604337,LC,
Eugenia caducipetala,M.A.D.Souza & Scud.,9633862,1731564,,
Eugenia calva,McVaugh,5417346,1604342,,
Eugenia campina,Sobral & M.A.D.Souza,10420910,1732411,,
Eugenia coffeifolia,DC.,5417497,1402531,LC,
Eugenia conduplicata,B.Holst,5416998,1604408,,
Eugenia cucullata,Amshoff,5416873,1405911,LC,
Eugenia cupulata,Amshoff,5416593,1405912,LC,
Eugenia cuspidifolia,DC.,5416264,1604447,,
Eugenia dittocrepis,O.Berg,5417951,1406272,LC,
Eugenia egensis,DC.,5416834,1404935,LC,
Eugenia eurycheila,O.Berg,5417516,1404936,,
Eugenia excelsa,O.Berg,5417393,1402532,,
Eugenia ferreiraeana,O.Berg,5416922,1604505,LC,
Eugenia flavescens,DC.,5416305,1405015,LC,
Eugenia florida,DC.,5417919,1402534,LC,
Eugenia galbaoensis,Mattos,5416296,1400834,LC,
Eugenia gomesiana,O.Berg,5417470,1405916,LC,
Eugenia heterochroma,Diels,5417237,1604573,LC,
Eugenia illepida,McVaugh,5418180,1604593,,
Eugenia inundata,DC.,5417465,1604605,LC,
Eugenia joseramosii,M.A.D.Souza & Scud.,9489321,1732082,,
Eugenia lambertiana,DC.,5416727,1402535,LC,
Eugenia limbosa,O.Berg,5416662,1604663,LC,
Eugenia longiracemosa,Kiaersk.,5417537,1604681,LC,
Eugenia magna,B.Holst,5416911,1604704,LC,
Eugenia moschata,(Aubl.) Nied. ex T.Durand & B.D.Jacks.,5417677,1604759,LC,
Eugenia omissa,McVaugh,5417543,1402539,LC,
Eugenia pallidopunctata,Mazine,5557131,1604815,LC,
Eugenia patrisii,Vahl,5417187,1402540,LC,
Eugenia percincta,McVaugh,5416814,1604829,DD,
Eugenia protenta,McVaugh,5417290,1604881,,
Eugenia pseudopsidium,Jacq.,5416958,1402544,LC,Christmas cherry
Eugenia punicifolia,(Kunth) DC.,5418067,1402545,LC,
Eugenia quadrijuga,McVaugh,5417397,1604903,EN,
Eugenia ramiflora,Desv.,7770168,1402546,,
Eugenia roseiflora,McVaugh,5417023,1604938,LC,
Eugenia stictopetala,DC.,5417648,1605023,LC,
Eugenia stipitata,McVaugh,5417551,1419558,LC,Araca-boi; Arazá
Eugenia versicolor,McVaugh,5417243,1605106,,
Eugenia wentii,Amshoff,5416326,1605121,LC,
Eumachia astrellantha,(Wernham) Delprete & J.H.Kirkbr.,9473413,1723991,LC,
Eumachia deinocalyx,(Sandwith) Delprete & J.H.Kirkbr.,9311066,1723994,LC,
Eumachia guianensis,(Bremek.) Delprete & J.H.Kirkbr.,9394506,1723995,LC,
Euphorbia cotinifolia,L.,3067261,1380521,LC,Tropical smokebush; Caribbean copperplant; Caribbean cooper plant; Mexican shrubby spurge; Red spurge; Caribbean copper plant; Smoketree spurge; Spurge; Copper penny
Euterpe catinga,Wallace,5293412,1469540,LC,
Euterpe oleracea,Mart.,5293398,1403318,,Assai palm; Cabbage palm; Acai; အခါဲအဳ၊ တၞံ; Euterp-palm; Manicola-palm; Pina palm; Acai palm; Mountain cabbage palm; Euterpe palm
